"year","LEVEL","cnty","own_code","naics","employment","wages","largest_firm","total_firms"
2013.0,"2","017","5","62",4.0,281786.0,4.0,1
2013.0,"2","017","5","72",25.75,211942.0,13.499999999999998,3
2013.0,"2","017","5","81",3.666666666666666,42873.0,1.3333333333333333,3
2013.0,"2","019","5","21",705.75,65638993,646.75,6
2013.0,"2","019","5","22",24.5,1934060.0,15.25,5
2013.0,"2","019","5","23",148.75000000000006,7760819.0,62.83333333333334,39
2013.0,"2","019","5","31-33",17.0,346735.0,12.166666666666666,6
2013.0,"2","019","5","42",36.58333333333333,4093057.0,5.25,25
2013.0,"2","019","5","44-45",203.66666666666666,4527278.0,43.333333333333336,40
2013.0,"2","019","5","48-49",47.916666666666664,1248950.0,38.166666666666664,6
2013.0,"2","019","5","51",24.583333333333332,1680333.0,21.25,3
2013.0,"2","019","5","52",16.583333333333332,540523.0,5.0,10
2013.0,"2","019","5","53",29.833333333333332,765345.0,7.666666666666666,20
2013.0,"2","019","5","54",105.83333333333333,6921794.0,23.583333333333332,50
2013.0,"2","019","5","55",1.25,21030.0,1.25,2
2013.0,"2","019","5","56",45.416666666666664,1573565.0,13.249999999999998,14
2013.0,"2","019","5","61",14.916666666666668,393809.0,6.333333333333334,5
2013.0,"2","019","5","62",52.5,1827240.0,9.416666666666668,16
2013.0,"2","019","5","71",274.33333333333337,6490462.0,242.0,14
2013.0,"2","019","5","72",621.3333333333335,11505062,78.5,48
2013.0,"2","019","5","81",87.74999999999999,2340510.0,64.58333333333333,12
2013.0,"2","021","5","11",59.91666666666667,1699442.0,15.249999999999998,11
2013.0,"2","021","5","21",18.333333333333336,1019649.0,10.916666666666668,3
2013.0,"2","021","5","23",81.16666666666667,2421778.0,20.0,18
2013.0,"2","021","5","31-33",26.833333333333336,741790.0,16.583333333333336,5
2013.0,"2","021","5","42",29.666666666666668,911892.0,25.583333333333336,5
2013.0,"2","021","5","44-45",166.99999999999997,3935675.0,38.583333333333336,17
2013.0,"2","021","5","48-49",46.0,1553104.0,23.5,12
2013.0,"2","021","5","51",4.416666666666666,328430.0,4.333333333333333,2
2013.0,"2","021","5","52",27.416666666666664,945497.0,9.833333333333334,4
2013.0,"2","021","5","53",4.916666666666667,63329.0,3.0,2
2013.0,"2","021","5","54",23.083333333333336,733634.0,9.0,11
2013.0,"2","021","5","55",1.25,107574.0,1.25,1
2013.0,"2","021","5","56",7.25,171131.0,4.25,3
2013.0,"2","021","5","62",194.91666666666666,6487426.0,64.66666666666666,11
2013.0,"2","021","5","71",1.0,18250.0,1.0,1
2013.0,"2","021","5","72",88.58333333333331,1267949.0,33.08333333333333,16
2013.0,"2","021","5","81",2.6666666666666665,53725.0,0.9166666666666666,4
2013.0,"2","021","5","99",0.3333333333333333,18352.0,0.3333333333333333,1
2013.0,"2","023","5","11",119.33333333333334,4435909.0,29.000000000000004,12
2013.0,"2","023","5","21",4.0,362585.0,4.0,1
2013.0,"2","023","5","22",4.083333333333333,97652.0,4.083333333333333,1
2013.0,"2","023","5","23",13.583333333333332,418536.0,7.583333333333333,7
2013.0,"2","023","5","31-33",12.5,429054.0,12.5,1
2013.0,"2","023","5","42",86.00000000000001,2102371.0,85.08333333333334,2
2013.0,"2","023","5","44-45",33.583333333333336,453008.0,6.916666666666667,10
2013.0,"2","023","5","51",1.0,12000.0,1.0,1
2013.0,"2","023","5","52",2.3333333333333335,70846.0,2.3333333333333335,1
2013.0,"2","023","5","53",45.66666666666667,2087215.0,44.333333333333336,4
2013.0,"2","023","5","54",8.5,480338.0,5.5,4
2013.0,"2","023","5","56",5.0,84229.0,3.0,2
2013.0,"2","023","5","62",57.333333333333336,1177014.0,15.0,11
2013.0,"2","023","5","71",13.166666666666666,183308.0,13.166666666666666,1
2013.0,"2","023","5","72",42.66666666666667,429866.0,13.0,6
2013.0,"2","023","5","81",7.25,178677.0,3.333333333333333,3
2013.0,"2","025","5","11",83.5,2515040.0,77.75,3
2013.0,"2","025","5","22",11.333333333333332,368067.0,6.75,2
2013.0,"2","025","5","23",19.083333333333332,1455875.0,8.0,6
2013.0,"2","025","5","42",4.583333333333334,87729.0,4.583333333333334,1
2013.0,"2","025","5","44-45",78.74999999999999,2175873.0,24.0,8
2013.0,"2","025","5","48-49",0.8333333333333333,61581.0,0.8333333333333333,1
2013.0,"2","025","5","52",17.0,550174.0,10.499999999999998,3
2013.0,"2","025","5","53",4.166666666666667,42740.0,4.166666666666667,1
2013.0,"2","025","5","54",6.833333333333334,235317.0,3.916666666666667,4
2013.0,"2","025","5","56",234.16666666666669,7737558.0,234.16666666666669,1
2013.0,"2","025","5","61",0.0,0.0,0.0,1
2013.0,"2","025","5","62",70.41666666666667,1695546.0,52.0,5
2013.0,"2","025","5","72",17.416666666666668,545169.0,13.000000000000002,3
2013.0,"2","025","5","81",6.416666666666667,169132.0,6.416666666666667,2
2013.0,"2","027","5","11",24.0,697027.0,10.0,6
2013.0,"2","027","5","22",5.0,403770.0,5.0,1
2013.0,"2","027","5","23",91.91666666666667,4353954.0,31.416666666666664,24
2013.0,"2","027","5","31-33",39.333333333333336,1677398.0,9.833333333333334,8
2013.0,"2","027","5","42",8.083333333333332,334292.0,6.083333333333333,4
2013.0,"2","027","5","44-45",118.75,2956297.0,20.833333333333336,20
2013.0,"2","027","5","48-49",4.333333333333333,95650.0,2.333333333333333,2
2013.0,"2","027","5","51",19.583333333333336,612099.0,12.083333333333334,5
2013.0,"2","027","5","52",17.416666666666668,582852.0,12.833333333333334,6
2013.0,"2","027","5","53",16.0,339220.0,5.833333333333333,11
2013.0,"2","027","5","54",28.416666666666668,1373954.0,4.0,22
2013.0,"2","027","5","56",7.833333333333334,247501.0,4.25,4
2013.0,"2","027","5","61",8.0,326202.0,5.833333333333333,2
2013.0,"2","027","5","62",52.666666666666664,1262934.0,18.75,5
2013.0,"2","027","5","71",40.16666666666667,535873.0,26.750000000000004,6
2013.0,"2","027","5","72",79.08333333333333,918879.0,33.75,16
2013.0,"2","027","5","81",21.5,439559.0,6.583333333333333,7
2013.0,"2","029","5","11",394.50000000000006,10204040,43.16666666666667,49
2013.0,"2","029","5","21",677.25,49659971,344.58333333333337,13
2013.0,"2","029","5","22",42.0,2384491.0,13.416666666666666,10
2013.0,"2","029","5","23",299.58333333333326,10030084,39.166666666666664,111
2013.0,"2","029","5","31-33",475.0,16889470,37.16666666666667,64
