var,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
ws_util_co,8021,8021,8143,7869,7929,7949,8097,7950,8212,8402,8263,8137,8036,7831.333333333333,8133.583333333333,8226.833333333334,8237.25,8077.916666666666,8029.666666666667,8168.166666666667,8303.5,8471.416666666666,8724.666666666668,9263.833333333332,9217.583333333334
incp_util_co,7739,3628,4772,6508,4071,10858,17233,13303,12578,11194,12142,11906,16367,17695,19918,20873,30411,18940,24849,27945,27588,29529,44330,46649,46416.1032959718
jobs_util_co,8175,8089,8218,7987,8037,8228,8378,8233,8505,8691,8541,8407,8317,8095.333333333333,8451.583333333332,8561.833333333334,8579.25,8346.916666666666,8315.666666666668,8452.166666666668,8592.5,8780.416666666666,9061.666666666668,9612.833333333332,9564.840939076097
incws_util_co,455771628,522756047,523176011,505518790,567421265,570321111,748905862,615551875,651606652,665501433,695401143,718647651,781555698,684291213,731734148,765362960,788322872,800325285,839129926,901151158,952390617,1008156609,1080532871,1225357261,1269292060
jobs_const_co,206559,212540,204830,196878,200793,212458,219004,221524,212272,180599,164410,161242,164122,178019.75,195156.91666666666,202314,210691.08333333337,219378.91666666674,231505,239476.83333333328,237358.83333333334,237541.66666666666,243319.91666666663,249628.58333333328,249963.21970141298
incp_const_co,2646606,2824296,2776181,2903692,3178684,3363842,3399232,3567459,3235625,2626378,2596517,2595916,2803092,2966259,3361173,3497750,3660376,3945081,4203972,4377019,4549103,4789668,5649462,5946317,5954288.258330114
prop_const_co,43919,45467,44994,47404,50081,52887,51888,54343,51014,50002,49841,49493,48796,50490,53046,53643,55552,56032,58564,60817,62568,60407,60437,63074,63158.55303474632
ws_const_co,162640,167073,159836,149474,150712,159571,167116,167181,161258,130597,114569,111749,115326,127529.75000000001,142110.91666666666,148671,155139.08333333337,163346.91666666674,172941,178659.83333333328,174790.83333333334,177134.66666666666,182882.91666666663,186554.58333333328,186804.66666666666
incws_const_co,6053842243,6505264318,6268697735,5874664437,6054336252,6612903366,7210192338,7608153869,7689049173,6241071672,5474226545,5455469816,5778396112,6512082816,7626631853,8226892783,8897114980,9712855557,10796235431,11544525517,11919004142,12622031282,13829747790,14630257124,15206347959
inc_const_co,6056488849,6508088614,6271473916,5877568129,6057514936,6616267208,7213591570,7611721328,7692284798,6243698050,5476823062,5458065732,5781199204,6515049075,7629993026,8230390533,8900775356,9716800638,10800439403,11548902536,11923553245,12626820950,13835397252,14636203441,15212302247.25833
incp_man_co,213773,220524,221617,233974,248988,248912,261558,280591,262679,242182,254340,272627,291289,288428,319324,336801,347264,360142,379372,393005,390807,412257,468192,459622,451575.02782759146
ws_man_co,188591,182056,166439,155955,154483,150494,148750,146665,144070,129550,125402,129046,131906,132625.3333333333,136220.5,140821.50000000006,142357.66666666663,144102.0833333333,147220.00000000003,150018.3333333333,146271.74999999997,148486.75000000003,152983.00000000006,151165.91666666663,148519.33333333337
incws_man_co,8853599407,8654228023,8093677819,7924633930,8128845545,8076623941,8148073372,8336993584,8397758132,7511065970,7522688120,7951035562,8207799364,8275769444,8873095328,9358154484,9436460524,10006655012,10408419574,11111596651,11284995011,11991716946,12634217360,12957768289,13356118770
prop_man_co,5754,5691,5732,5893,5988,6004,6410,6799,6512,6637,6725,6890,7285,7123,7446,7737,7696,7561,7605,7584,7437,7582,7949,8072,7930.677001153814
jobs_man_co,194345,187747,172171,161848,160471,156498,155160,153464,150582,136187,132127,135936,139191,139748.3333333333,143666.5,148558.50000000006,150053.66666666663,151663.0833333333,154825.00000000003,157602.3333333333,153708.74999999997,156068.75000000003,160932.00000000006,159237.91666666663,156450.0103344872
inc_man_co,8853813180,8654448547,8093899436,7924867904,8129094533,8076872853,8148334930,8337274175,8398020811,7511308152,7522942460,7951308189,8208090653,8276057872,8873414652,9358491285,9436807788,10007015154,10408798946,11111989656,11285385818,11992129203,12634685552,12958227911,13356570345.027828
